address,address_short,first_seen_hop,incoming_cell_all_dataset,outgoing_cell_all_dataset,net_cell_all_dataset,total_volume_cell,incoming_edges,outgoing_edges,suggested_review,classification_hint,manual_label,manual_class,notes
0x1554ee9fc79abd421ac570850bc5d8358240ac2f,0x1554ee9f...8240ac2f,2,229308.23486714,229265.0965165,43.13835064,458573.33138364,8,6,large balanced pass-through wallet,balanced pass-through,,,
0x4736b02db015dcd1a57a69c889d073b100000000,0x4736b02d...00000000,2,228016.1577253,228016.15298835,0.00473695,456032.31071364996,6,6,large balanced pass-through wallet,balanced pass-through,,,
0x1802152b86d5c8964ff6dcc5ae1d1bda71ce50fe,0x1802152b...71ce50fe,2,221964.87530803,221962.14265388,2.73265415,443927.01796191,5,1,large balanced pass-through wallet,balanced pass-through,,,
0xdac73a395414491252a720d64c246cb8e681e893,0xdac73a39...e681e893,3,221962.14265388,221962.14265388,0.0,443924.28530776,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x632f3c89efd89e9217c9ffaa584975a6da085a1d,0x632f3c89...da085a1d,3,211083.15981944,211083.15981944,0.0,422166.31963888,2,2,large balanced pass-through wallet,balanced pass-through,,,
0x3d30b8eac0531ad60f98d933dc91b965551f949c,0x3d30b8ea...551f949c,3,210000.0,210000.0,0.0,420000.0,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x4870525eae23fceb31df613d179ef6275e1b93a9,0x4870525e...5e1b93a9,2,207527.94314943,207527.92239664,0.02075279,415055.86554607004,5,5,large balanced pass-through wallet,balanced pass-through,,,
0x713d470580a8db6055370b4adfb673411dd3b106,0x713d4705...1dd3b106,1,205259.69938312,197132.66155217,8127.03783095,402392.36093529,11,9,large unclassified downstream wallet,balanced pass-through,,,
0x3de1b88d621eb45bf6d87486fae7084531a28894,0x3de1b88d...31a28894,1,197016.60194683,197016.60194683,0.0,394033.20389366,9,8,large balanced pass-through wallet,balanced pass-through,,,
0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,0xad3b67bc...f54a968f,2,194909.99359396,194882.99313729,27.00045667,389792.98673125,29,9,large balanced pass-through wallet,balanced pass-through,,,
0x7232b18eb4f833f4e39e1ebcbb222c2effed4e4a,0x7232b18e...ffed4e4a,1,194014.27897597,194014.27897597,-0.0,388028.55795194,6,5,large balanced pass-through wallet,balanced pass-through,,,
0xe2f34a63d2f9f30a06d5c5e6a35a821a0593d173,0xe2f34a63...0593d173,2,190206.51277162,190206.51277162,0.0,380413.02554324,2,1,large balanced pass-through wallet,balanced pass-through,,,
0x6cef76e236c6b0990f3a0dbc3a529281d726783c,0x6cef76e2...d726783c,3,187470.0067413,187470.0067413,0.0,374940.0134826,1,8,large balanced pass-through wallet,balanced pass-through,,,
0xa8185d38f7fbf84d2af443943020b19e5cfb96e7,0xa8185d38...5cfb96e7,2,371492.04343855,0,371492.04343855,371492.04343855,1,0,large unclassified downstream wallet,manual review,,,
0x7c308fb5fe7c879186f606dcbf4a7617bc95f889,0x7c308fb5...bc95f889,2,366036.15301721,0,366036.15301721,366036.15301721,5,0,large unclassified downstream wallet,manual review,,,
0xe8c060f8052e07423f71d445277c61ac5138a2e5,0xe8c060f8...5138a2e5,2,181955.33320572,181955.33320572,0.0,363910.66641144,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xa77c88abcaa770c54a6cfbfd0c586a475537bbc1,0xa77c88ab...5537bbc1,2,179306.9082891,179306.9082891,0.0,358613.8165782,8,4,large balanced pass-through wallet,balanced pass-through,,,
0xd42b0ecf8a9f8ba9db7b0c989d73cf0bd5f83b66,0xd42b0ecf...d5f83b66,2,177812.07185057,177812.07185057,-0.0,355624.14370114,9,7,large balanced pass-through wallet,balanced pass-through,,,
0x2c87d8f4ebcd05be72efbbd2fc6c6a000c8af854,0x2c87d8f4...0c8af854,1,142351.56911605,212177.0,-69825.43088395,354528.56911605,4,12,large unclassified downstream wallet,manual review,,,
0x1e388c69ed765f402ae7538a44d8097c1054fe2b,0x1e388c69...1054fe2b,3,175000.0,175000.0,0.0,350000.0,1,5,large balanced pass-through wallet,balanced pass-through,,,
0xd95d47e2f7723d463d585c774a3f020836b6dcf2,0xd95d47e2...36b6dcf2,1,174374.579511,174374.579511,0.0,348749.159022,3,6,large balanced pass-through wallet,balanced pass-through,,,
0xccbd646e56ee78fbc765884427484f2fc5c9c4a4,0xccbd646e...c5c9c4a4,2,173132.79884932,173132.79884932,0.0,346265.59769864,1,1,large balanced pass-through wallet,balanced pass-through,,,
0xdb3ded7731c781224ec292e2163d9554c094fd7c,0xdb3ded77...c094fd7c,4,176366.03601165,168718.57,7647.46601165,345084.60601165,23,16,large unclassified downstream wallet,balanced pass-through,,,
0x490e6612100a388b24fee4cfb50cea360793b051,0x490e6612...0793b051,3,172410.14481867,172410.14481867,0.0,344820.28963734,2,3,large balanced pass-through wallet,balanced pass-through,,,
0xddfa48d55924da229508cf5c9369af9673da07fc,0xddfa48d5...73da07fc,2,170000.00004384,170000.00004384,0.0,340000.00008768,2,2,large balanced pass-through wallet,balanced pass-through,,,
0x17ba3a6f59d4287ddc5120f5df42611d9c76cf4c,0x17ba3a6f...9c76cf4c,2,170241.26816483,167924.15224966,2317.11591517,338165.42041449,6,5,large balanced pass-through wallet,balanced pass-through,,,
0xd6c8fc05d64a314184fc6f35ac0840494687eaa0,0xd6c8fc05...4687eaa0,2,165861.93185679,165861.93185679,-0.0,331723.86371358,3,1,large balanced pass-through wallet,balanced pass-through,,,
0x94c5d209994b9c6bf1a390b14a1510a4f2624e59,0x94c5d209...f2624e59,3,147058.70102856,182934.29183723,-35875.59080867,329992.99286579003,2,1,large unclassified downstream wallet,manual review,,,
0x8c80f149d38be555b017a5f609fc414912fbced2,0x8c80f149...12fbced2,3,161793.88667862,161793.88667862,-0.0,323587.77335724,9,4,large balanced pass-through wallet,balanced pass-through,,,
0x16984947a9df713bd940b2caeef32c42950b5006,0x16984947...950b5006,5,158306.48806254,158306.48806254,0.0,316612.97612508,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xcda69adf1b5852ea936e6b114522ad9f295cb65e,0xcda69adf...295cb65e,2,155000.0,155000.0,0.0,310000.0,1,5,large balanced pass-through wallet,balanced pass-through,,,
0x039ac6fbcebf02b54259bc690e13540693d9eb8d,0x039ac6fb...93d9eb8d,4,153001.68833463,152875.79583358,125.89250105,305877.48416820995,2,1,large balanced pass-through wallet,balanced pass-through,,,
0x8c85de6323e1808f160cedf67af299d6bbb405bd,0x8c85de63...bbb405bd,2,149230.0,149230.0,0.0,298460.0,1,2,large balanced pass-through wallet,balanced pass-through,,,
0x149a958e99b6302fd8f582761aeaf777f27baca4,0x149a958e...f27baca4,3,137637.23447054,157637.33139903,-20000.0969285,295274.56586957,7,7,large unclassified downstream wallet,manual review,,,
0xc36442b4a4522e871399cd717abdd847ab11fe88,0xc36442b4...ab11fe88,2,143464.14781036,143464.14781036,0.0,286928.29562072,3,32,large balanced pass-through wallet,balanced pass-through,,,
0x03170b7817058084351a9a5cbd010bbdbaefa4d2,0x03170b78...baefa4d2,3,143133.90753074,143133.90753074,0.0,286267.81506148,4,3,large balanced pass-through wallet,balanced pass-through,,,
0x1a9ca1ab227d02fb239b9d23b13589c54bfcc7bb,0x1a9ca1ab...4bfcc7bb,2,140113.32148881,140113.32118515,0.00030366,280226.64267396,5,4,large balanced pass-through wallet,balanced pass-through,,,
