recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xb540d7586ea7da41d54315debe313c99bafbac3d,36967870,100.1,2,0.002001959960800783984320313594
0xe27994aa8660deaffd3f8687b8e98d56785b9138,34664750,100.014009758224995426,1,0.002000240190360692694666106678
0xc796d9b7f6084034beb42966bc6f1925f64cbc10,22899821,100,1,0.001999960000799984000319993600
0x0a4cb29754ee28864fd70157b49a707c0461f4f4,27284582,100,1,0.001999960000799984000319993600
0x23a62825c2cad224fef65b3a239325d9ae28ef3b,27348158,100,1,0.001999960000799984000319993600
0x49a37773f7f6814a2bcd9458e7ed8780e2ced576,28751103,100,1,0.001999960000799984000319993600
0x98174dcfe9ef0113ad8792b5a77ce629f40124c6,34494954,100,1,0.001999960000799984000319993600
0x764e6452f9f75e6f58855486960d2d80de764e49,36364802,99.899995989850548795,2,0.001997959960597799019919601608
0x26553b28f6bd9fb2b489598276d67c07cf151d38,36872817,99.752366718528960988,1,0.001995007434221894781864362713
0x1478ec4da03f83cd34042101b3459551ac1ba95e,27359659,99.75,1,0.001994960100797984040319193616
0x15af5c71308a1379d09026088b5870ecf625c25e,28036804,99.75,1,0.001994960100797984040319193616
0x35d72fdc972f012208e45da67a88e36db7fae86b,29658315,99.75,1,0.001994960100797984040319193616
0xba92676844eacd69d09c1fa7b8c75bdec0f17c73,37747278,99.75,1,0.001994960100797984040319193616
0x1c685a5e9619beecf63a1b303d4f94cce1c7cea9,36155839,99.462073900192314974,1,0.001989201693969966900141997160
0x5f63b4d058217726a9fd9fb5a55909bdd5d69ed8,29352532,98.947396507429137508,1,0.001978908351981543119297614048
0x31229fd542410471a2d04d6c5f7b259cc052e437,36852047,98.744708589990852609,1,0.001974854674706322925721485570
0xdfef75e07e239a5166c1739ccef60186d5c6cd09,27285954,98.48946848578946,1,0.001969749974716294874102517950
0x0d25f824691e2d4667a0d1ad46e68997c1db599e,27284496,98.462844,1,0.001969217495650086998260034799
0x5a70c551d09d37e04cbdf21d688ff47981ebae28,30836014,98.3047,1,0.001966054678906421871562568749
0x1ce1072809f8253b76b050514b03b945e8b0dc10,36342068,98.2295,1,0.001964550708985820283594328113
0xfa0cfc36c3bbf5a52cf83a17579796937264bb96,36995119,97.555384757737882667,2,0.001951068673781282027699446011
0xa10a2bc383ed934368317f228ac49d1aacc07ddc,28883102,97.500000000000001488,1,0.001949961000779984430071398572
0x4274c8ab185f4642ca991104e52864826712fa1f,35547319,97.375,1,0.001947461050778984420311593768
0x4516af6758a06e659601311d8466d83ed5c27da3,36912106,97.375,1,0.001947461050778984420311593768
0x91649c23798b621f03b9b375d4011a3a529ecf72,35210643,97.244159972050877904,1,0.001944844302554966458750824984
0xf7fee0099f2501da4bd367e74d5b8aeb8c368ef9,36240336,96.9,1,0.001937961240775184496310073799
0x4e62f2528404b9b1dd70ca560ad795ea40a72629,36049655,96.207773882757691172,2,0.001924116995315247518489630207
0x8265708a6e437dc991c0ec9fc0dcec7149fd2852,36650110,95.955104770761656868,1,0.001919063714140950318353632927
0x76bee71ca3062d81e0ae3871a9ab0ca756ce1f9e,36074692,95.95,1,0.001918961620767584648307033859
0x616e98eba2717bfc523f1211cf10a116b1811813,25435112,95,1,0.001899962000759984800303993920
